"old_url","new_url","status_action","current_status_code","current_title","current_meta_description","current_h1","canonical","indexability","traffic_priority","recommended_action","notes"
"https://clikclak.ch/","https://clikclak.ch/","200_keep","200","Réparation smartphone Lausanne, réparation iPhone, Samsung","Votre smartphone est tombé, écran cassé ? Clik Clak Repair à Lausanne le répare, garantie 2 ans sur les pièces originales dès 29frs","Réparation Smartphone Lausanne","https://clikclak.ch/","Indexable","critical","keep_as_is","896 clics / 2374 impressions GSC 16 mois. Page la plus trafiquée. 110 liens internes. Priorité absolue."
"https://clikclak.ch/services/reparation-iphone/","https://clikclak.ch/services/reparation-iphone/","200_keep","200","Réparation iPhone rapide en 20 minutes⭐️ ⭐️ ⭐️ ⭐️ ⭐️","Découvrez la réparation iPhone rapide et efficace. La plupart des réparations s'effectuent en environ 20 minutes.","Réparation iPhone","https://clikclak.ch/services/reparation-iphone/","Indexable","critical","keep_improve_title","59 clics / 455 impressions GSC. 119 liens internes. Business priority #2. Title avec emojis et sans localisation Lausanne — à améliorer. Title 52 chars OK mais emojis non recommandés."
"https://clikclak.ch/services/reparation-samsung-lausanne/","https://clikclak.ch/services/reparation-samsung-lausanne/","200_keep","200","Réparation Samsung Lausanne - Lausanne - Pièces originales - ClikClak","Réparation samsung Lausanne réparation écran batterie connecteur de charge dégâts d'eau garantie 2 ans sur les pièces originales pièces d'origines Petit-chêne 9b","Réparation Samsung Lausanne","https://clikclak.ch/services/reparation-samsung-lausanne/","Indexable","critical","keep_improve_meta","2 clics / 57 impressions GSC. 172 liens internes (plus linkée du site). Business priority #3. Meta 161 chars (trop long). 'Lausanne' dupliqué dans le title."
"https://clikclak.ch/services/reparation-macbook/","https://clikclak.ch/services/reparation-macbook/","200_keep","200","Réparation Macbook et iMac - MacBook, batterie, écran ,dégât d'eau","Expert en MacBook réparation Lausanne, nous offrons des services rapides et professionnels pour tous les modèles de Mac.","Réparation d'ordinateur","https://clikclak.ch/services/reparation-macbook/","Indexable","high","keep_fix_h1","87 clics / 295 impressions GSC. Meilleure page après homepage (surprise). H1 'Réparation d'ordinateur' ne correspond pas au positionnement MacBook — à corriger. 5 liens internes seulement (sous-maillé)."
"https://clikclak.ch/reparation-smartphone-express/","https://clikclak.ch/reparation-smartphone-express/","200_keep","200","Réparation smartphone express lausanne rue du petit chêne 9b","Clik Clak Repair - Réparation smartphone express et au meilleur prix. Dépannage 7/7 sur rendez-vous. Réparation Natel à Lausanne.","Réparation smartphone","https://clikclak.ch/reparation-smartphone-express/","Indexable","high","keep_improve_title_h1","3 clics / 63 impressions GSC. 48 liens internes. Title contient adresse physique (peu SEO). H1 générique. Conserver URL absolument."
"https://clikclak.ch/reparation/","https://clikclak.ch/reparation/","200_keep","200","Réparation smartphone lausanne garantie 2 ans sur les pièces originales Service express 20min","Réparation smartphone Lausanne nous réparons smartphone ordinateur tablette à des prix raisonnables au petit chêne 9b 1003 lausanne","Réparation","https://clikclak.ch/reparation/","Indexable","high","keep_fix_title_h1","1 clic / 85 impressions. 45 liens internes. Hub réparation. Title 93 chars (limite 60). H1 'Réparation' trop court."
"https://clikclak.ch/contact-clik-clak-lausanne/","https://clikclak.ch/contact-clik-clak-lausanne/","200_keep","200","Contact Clik Clak Lausanne - Réparation smartphone","Nous réparons votre smartphone, tablette, ordinateur à Lausanne au meilleure prix, proche de la gare, Clik Clak Repair et ça repart !","Contact","https://clikclak.ch/contact-clik-clak-lausanne/","Indexable","high","keep_fix_h1","1 clic / 142 impressions. 68 liens internes. H1 'Contact' trop générique — à enrichir. URL finale pour les chaînes /contact et /contact-reparation-smartphone-lausanne-clik-clak-repair/."
"https://clikclak.ch/r-cup-ration-de-donn-es/","https://clikclak.ch/services/recuperation-donnees/","200_review_slug","200","Clik Clak Repair Récupération de données ⭐️ ⭐️ ⭐️ ⭐️ ⭐️","Découvrez Clik Clak Repair Lausanne pour la récupération de données à des prix compétitifs. Service qualité pour tous vos appareils.","Récupération de données | Récupération de Données et Réparation Informatique à Lausanne | Clik Clak Repair","https://clikclak.ch/r-cup-ration-de-donn-es/","Indexable","high","fix_url_consolidate_with_301","URL encodée problématique (/r-cup-ration-de-donn-es/). 67 liens internes. Double H1 détecté. Doublon avec /services/recuperation-donnees/. Vérifier backlinks — si indexée: créer 301 vers URL propre. Service stratégique prioritaire."
"https://clikclak.ch/services/recuperation-donnees/","https://clikclak.ch/services/recuperation-donnees/","200_review_duplicate","200","Clik Clak Récupération de données -","Réparation smartphone Lausanne, réparation iPhone, Samsung, Huawei, Xiaomi, OPPO, Blackberry Réparation tablette, iPad, Tab, Surface Pro etc. Réparation Macbook, Acer, Asus etc. Désoxydation dégâts d'eau.","Récupération de données","https://clikclak.ch/services/recuperation-donnees/","Indexable","high","fix_title_meta_consolidate","0 clics / 8 impressions GSC. Title tronqué (tiret final). Meta générique 204 chars (copier-colle WP). Doublon avec /r-cup-ration-de-donn-es/. À consolider. URL propre à conserver comme destination finale."
"https://clikclak.ch/reparation-degat-eau-lausanne/","https://clikclak.ch/reparation-degat-eau-lausanne/","200_keep","200","Réparation dégât d'eau à lausanne clikclak rue petit chêne 9b","Votre smartphone à subit un dégât d'eau et ne fonctionne plus ? Une réparation par un spécialiste s'impose, Réparation dégât d'eau à lausanne","Réparation Dégât d'eau","https://clikclak.ch/reparation-degat-eau-lausanne/","Indexable","high","keep_improve_title","0 clics / 2 impressions GSC. 1 lien interne (sous-maillé). Destination finale pour 6 variantes Yoast. Title contient adresse. Meta 141 chars (ok). Sous-maillé: page stratégique à mieux relier."
